epoch,loss,lr,mae,mape,mse,msle,rmse,val_loss,val_mae,val_mape,val_mse,val_msle,val_rmse
0,0.32919428758323194,1e-04,0.30412933,1011.0752,0.21912628,0.11431447,0.4673893,0.1129680722951889,0.06601586937904358,100.0,0.004358095116913319,0.00408680085092783,0.06601586937904358
1,0.3010326370596886,1e-04,0.28235266,939.9966,0.19382276,0.10284893,0.43970427,0.11014262586832047,0.06601586937904358,100.0,0.004358095116913319,0.00408680085092783,0.06601586937904358
2,0.27104461174458266,1e-04,0.25829136,859.25446,0.16662174,0.09015299,0.40756837,0.1073845773935318,0.06601586937904358,100.0,0.004358095116913319,0.00408680085092783,0.06601586937904358
3,0.2419893866404891,1e-04,0.23299137,775.81854,0.14032088,0.077473395,0.37389284,0.10463463515043259,0.06601586937904358,100.0,0.004358095116913319,0.00408680085092783,0.06601586937904358
4,0.21314057223498822,1e-04,0.20688008,689.70685,0.11419525,0.06463238,0.3371609,0.10194417834281921,0.06601586937904358,100.0,0.004358095116913319,0.00408680085092783,0.06601586937904358
5,0.18617853447794913,1e-04,0.1808846,605.9306,0.08989499,0.05238551,0.299177,0.09932015836238861,0.06601586937904358,100.0,0.004358095116913319,0.00408680085092783,0.06601586937904358
6,0.16108109373599291,1e-04,0.15543358,522.618,0.06737084,0.04079223,0.25888395,0.09679857641458511,0.06601586937904358,100.0,0.004358095116913319,0.00408680085092783,0.06601586937904358
7,0.13873676070943475,1e-04,0.13153997,447.5937,0.04749769,0.030322367,0.21692407,0.09438715130090714,0.06601586192846298,99.99998474121094,0.004358093719929457,0.00408680085092783,0.06601585447788239
8,0.1215155340731144,1e-04,0.111471176,384.96484,0.03262537,0.022058548,0.17990358,0.0920976921916008,0.0660158097743988,99.9999008178711,0.004358086735010147,0.0040868003852665424,0.0660158097743988
9,0.10889072446152567,1e-04,0.09567789,336.85376,0.022240454,0.01595352,0.14855014,0.08990542590618134,0.06601569056510925,99.99974060058594,0.0043580722995102406,0.004086790140718222,0.06601569801568985
10,0.1005020654760301,1e-04,0.08434081,305.10672,0.016012479,0.012026819,0.12600294,0.08777784556150436,0.06601544469594955,99.99935913085938,0.004358038771897554,0.004086758475750685,0.06601544469594955
11,0.09447319144383073,1e-04,0.07608299,282.39062,0.012079804,0.009416508,0.10964,0.08570387214422226,0.06601496040821075,99.99861907958984,0.004357974510639906,0.004086696542799473,0.06601496040821075
12,0.0898860746063292,1e-04,0.07016103,269.33337,0.009550598,0.007663014,0.09746964,0.08366360515356064,0.06601408869028091,99.99729919433594,0.004357859492301941,0.004086584784090519,0.06601408123970032
13,0.0861793639138341,1e-04,0.065855004,262.0259,0.00786706,0.006457008,0.08855656,0.08165624737739563,0.0660126656293869,99.9951400756836,0.004357671365141869,0.004086403176188469,0.0660126656293869
14,0.08304306603968144,1e-04,0.06266523,257.319,0.0067226742,0.00561273,0.08188546,0.07967907935380936,0.0660102441906929,99.9914779663086,0.004357352387160063,0.004086093511432409,0.0660102441906929
15,0.08030864559113979,1e-04,0.06026725,255.49884,0.0059519387,0.005027825,0.07705284,0.07772903144359589,0.06600695103406906,99.9864730834961,0.0043569160625338554,0.0040856716223061085,0.06600694358348846
16,0.07777707353234291,1e-04,0.05850036,256.4846,0.0053559323,0.0045737936,0.07310574,0.07580719143152237,0.06600158661603928,99.97836303710938,0.004356209188699722,0.004084986634552479,0.06600157916545868
17,0.0754574148915708,1e-04,0.05718689,258.50616,0.0049425736,0.0042528547,0.070242465,0.07391545176506042,0.06599398702383041,99.96685791015625,0.004355206619948149,0.004084015265107155,0.06599398702383041
18,0.07323012845590711,1e-04,0.055996004,261.4656,0.004590903,0.0039764484,0.06768613,0.07205383479595184,0.06598382443189621,99.95146942138672,0.0043538655154407024,0.004082717001438141,0.0659838318824768
19,0.07113771066069603,1e-04,0.05520281,264.85754,0.004342969,0.0037812453,0.065819755,0.0702243372797966,0.06597061455249786,99.93144989013672,0.00435212254524231,0.004081029444932938,0.06597061455249786
20,0.06912572169676423,1e-04,0.05456629,268.9368,0.0041437643,0.0036235994,0.06432019,0.06842515617609024,0.06595003604888916,99.9002685546875,0.004349406808614731,0.004078400321304798,0.06595003604888916
21,0.06718654362484813,1e-04,0.05406584,273.00037,0.003984599,0.0034970045,0.06307592,0.06665735691785812,0.06592303514480591,99.85938262939453,0.004345847759395838,0.004074953496456146,0.0659230425953865
22,0.06530979489907622,1e-04,0.05364112,276.06015,0.00385465,0.0033934563,0.06204514,0.06492391228675842,0.06588767468929291,99.80582427978516,0.004341188818216324,0.004070442635565996,0.0658876895904541
23,0.06348026003688574,1e-04,0.05322685,280.3797,0.0037382047,0.0032991138,0.061094463,0.06322072446346283,0.06584134697914124,99.73564147949219,0.004335085861384869,0.00406453525647521,0.06584137678146362
24,0.06172838774509728,1e-04,0.052984424,283.59088,0.0036656803,0.003241351,0.06050285,0.06155184656381607,0.06578021496534348,99.64302825927734,0.004327041562646627,0.004056747071444988,0.06578025221824646
25,0.060005679214373234,1e-04,0.05272285,285.50458,0.0035884513,0.0031787918,0.059865963,0.059910040348768234,0.06569480150938034,99.5136489868164,0.0043158158659935,0.0040458813309669495,0.06569486111402512
